"pid3","weight","bias_wsj","bias_pbs","bias_npr","bias_cbs","bias_usa","bias_abc","bias_drg","bias_fox","bias_huf","bias_nyt"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.42994127905305,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"3","4 - No bias at all","3","3","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","3","4 - No bias at all"
"Republican ",1.42994127905305,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.4821940789721,"6","5","5","6","5","5","6","6","6","5"
"Independent ",1.50294581095031,"3","5","3",NA,"5",NA,NA,NA,"4 - No bias at all",NA
"Democrat ",1.50294581095031,"4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias"
"Democrat ",1.22959120508365,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all",NA,"4 - No bias at all"
"Democrat ",1.10136179960778,"5","5","5","5","5","5","5","5","5","5"
"Not sure",0.734366857192731,"2","2","2","3","2","2","2","4 - No bias at all","2","2"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.609212411329635,"5","5","5","5","5","5","5","5","5","5"
"Not sure",1.27651652916627,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Not sure",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",1.21451063980425,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.67793085934152,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.32435561309879,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","6","7 - Conservative or pro-Republican party bias","6","6","6","7 - Conservative or pro-Republican party bias","6","6"
"Republican ",1.27651652916627,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.59642655223364,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"3","3","3","3","3","3","3","3","3","3"
"Republican ",0.680141823754453,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Not sure",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.21451063980425,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",1.18225961819515,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.648700273592662,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.39196955152836,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","4 - No bias at all"
"Democrat ",1.04434470356207,"4 - No bias at all","5","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","5","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.32762167737989,"5","5","5","5","5","5","5","5","5","5"
"Democrat ",1.21451063980425,"2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","4 - No bias at all","1 - Liberal or pro-Democratic party bias","5","1 - Liberal or pro-Democratic party bias"
"Independent ",1.18225961819515,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.10136179960778,"2","2","3","2","3","3","2","1 - Liberal or pro-Democratic party bias","2","3"
"Republican ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias","3","6","4 - No bias at all","3"
"Republican ",1.35591374398098,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","3","1 - Liberal or pro-Democratic party bias"
"Republican ",1.18225961819515,"5","5","1 - Liberal or pro-Democratic party bias","2","2","2","6","4 - No bias at all","2","2"
"Democrat ",1.42994127905305,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.609212411329635,"5","3","3","2","5","5","3","3","6","3"
"Independent ",0.819867757562202,"1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.42513885806255,"2","4 - No bias at all","5","2","4 - No bias at all","4 - No bias at all","2","6","2","2"
"Democrat ",0.780043259950647,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias"
"Republican ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.567692203057534,"1 - Liberal or pro-Democratic party bias","4 - No bias at all","3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.724227180776517,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Independent ",1.16183159702502,"4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","4 - No bias at all"
"Democrat ",0.648700273592662,"6","4 - No bias at all","6","6","4 - No bias at all","6","6","6","6","6"
"Independent ",0.633787498642761,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.35591374398098,"3","3","3","3","3","3","3","4 - No bias at all","4 - No bias at all","3"
"Republican ",0.819867757562202,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","6","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.819867757562202,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.724227180776517,"6","2","6","2","7 - Conservative or pro-Republican party bias","3","6","7 - Conservative or pro-Republican party bias","2","6"
"Democrat ",1.12483219175135,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.5796203484681,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.724227180776517,"7 - Conservative or pro-Republican party bias","4 - No bias at all","5","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","3"
"Democrat ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.819867757562202,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","2","2","1 - Liberal or pro-Democratic party bias","2","6","2","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.680141823754453,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.734366857192731,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.680141823754453,"3","4 - No bias at all","4 - No bias at all","5","3","5","3","4 - No bias at all","3","4 - No bias at all"
"Independent ",1.21451063980425,"4 - No bias at all","6","5","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","5","4 - No bias at all"
"Democrat ",1.04434470356207,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","3","2","6","5","2","1 - Liberal or pro-Democratic party bias"
"Independent ",0.734366857192731,"3","2","2","2","4 - No bias at all","3","5","5","3","3"
"Republican ",0.609212411329635,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.42513885806255,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.32762167737989,"3","3","3","3","3","3","3","3","3","3"
"Democrat ",0.724227180776517,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Independent ",1.21451063980425,"6","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","5","5"
"Democrat ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","3","6","3","4 - No bias at all","5","2","3"
"Democrat ",0.819867757562202,"4 - No bias at all","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","3"
"Democrat ",0.986793553636056,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.935433953472144,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Republican ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",1.12483219175135,"5","4 - No bias at all","4 - No bias at all","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","5"
"Republican ",0.819867757562202,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","5","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","6","5","4 - No bias at all"
"Democrat ",1.25889119052398,"7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","3","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","3"
"Independent ",1.35591374398098,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.734366857192731,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","6"
"Independent ",1.18225961819515,"4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","3","4 - No bias at all","5","4 - No bias at all","4 - No bias at all"
"Republican ",0.819867757562202,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.734366857192731,"7 - Conservative or pro-Republican party bias","4 - No bias at all","6","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","5","6"
"Democrat ",0.609212411329635,"7 - Conservative or pro-Republican party bias","4 - No bias at all","2","4 - No bias at all","6","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","6"
"Republican ",0.819867757562202,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","2","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.780043259950647,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias","2"
"Republican ",0.986793553636056,"5","4 - No bias at all","4 - No bias at all","3","3","3","4 - No bias at all","5","3","3"
"Not sure",1.05896624448484,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","3","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Not sure",1.27651652916627,"7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Democrat ",1.42513885806255,"6","4 - No bias at all","4 - No bias at all","3","5","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","3"
"Democrat ",1.42513885806255,"6","5","6","5","5","6","5","5","6","6"
"Democrat ",0.724227180776517,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.819867757562202,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.25889119052398,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Democrat ",0.819867757562202,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.734366857192731,"2","4 - No bias at all","3","5","2","7 - Conservative or pro-Republican party bias","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.42513885806255,"3","2","2","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.600800788910784,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.609212411329635,"1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all"
"Independent ",1.24680632386779,"7 - Conservative or pro-Republican party bias","4 - No bias at all","5","5","5","5","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Independent ",1.07151234293091,"4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","5","3","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",1.50294581095031,"6","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","3","2","4 - No bias at all","6"
"Democrat ",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.734366857192731,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","2","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","7 - Conservative or pro-Republican party bias"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",0.734366857192731,"5","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","2","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Not sure",1.42513885806255,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.986793553636056,"5","6","4 - No bias at all","5","4 - No bias at all","5","2","3","3","4 - No bias at all"
"Democrat ",0.780043259950647,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Republican ",0.633787498642761,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.18225961819515,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","5","2","1 - Liberal or pro-Democratic party bias"
"Independent ",1.10168400176603,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.567692203057534,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",0.973168527907466,"5","5","1 - Liberal or pro-Democratic party bias","5","6","5","3","7 - Conservative or pro-Republican party bias","3","1 - Liberal or pro-Democratic party bias"
"Independent ",1.18225961819515,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","3","3","6","5","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.39196955152836,"4 - No bias at all","3","1 - Liberal or pro-Democratic party bias","2","2","2","3","5","3","1 - Liberal or pro-Democratic party bias"
"Independent ",1.12483219175135,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","4 - No bias at all"
"Independent ",0.680141823754453,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","7 - Conservative or pro-Republican party bias"
